Date,Site,Observer ,Species,Size_cm,Stage,Time_Beg,Time_End,Seconds_Observed,Depth_Beg,Dept_End,Bare,Rubble,CCA,Sand ,Other,Total_Bites,Bite_Rate,Notes
2010-07-24,Resilience_2,TA,Ctenochaetus striatus,16,,10:00:00,10:04:30,270,32,40,120,0,3,0,0,123,27.33333333,
2010-07-24,Resilience_2,MS,Ctenochaetus striatus,14,,10:00:32,10:05:23,291,32,36,78,15,0,0,0,93,19.17525773,
2010-07-24,Resilience_2,TA,Chlorurus sordidus,16,Initial_Phase,10:06:00,10:10:30,270,31,36,101,0,0,0,0,101,22.44444444,
2010-07-24,Resilience_2,MS,Chlorurus sordidus,16,Terminal_Phase,10:06:00,10:10:55,295,34,35,72,20,0,0,0,92,18.71186441,
2010-07-24,Resilience_2,MS,Ctenochaetus striatus,16,,10:11:30,10:16:30,300,32,42,14,0,0,0,0,14,2.8,Schooling with other C. striatus.  Lots of time swimming
2010-07-24,Resilience_2,TA,Chlorurus sordidus,15,Initial_Phase,10:12:30,10:17:20,290,27,29,72,0,0,0,0,72,14.89655172,
2010-07-24,Resilience_2,MS,Chlorurus sordidus,18,Terminal_Phase,10:18:19,10:23:19,300,34,32,82,13,0,0,0,95,19,
2010-07-24,Resilience_2,TA,Ctenochaetus striatus,15,,10:22:00,10:25:45,225,30,40,28,6,5,0,0,39,10.4,
2010-07-24,Resilience_2,TA,Chlorurus sordidus,21,Terminal_Phase,10:28:30,10:33:30,300,35,38,47,31,0,0,0,78,15.6,Cleaned by L. dimidiatus; chased 3 IP C sordidus
2010-07-24,Resilience_2,MS,Ctenochaetus striatus,13,,10:30:22,10:35:00,278,31,36,32,2,3,0,0,37,7.985611511,Spent lots of time sheltering
2010-07-24,Resilience_2,MS,Chlorurus sordidus,16,Terminal_Phase,10:39:00,10:43:20,260,32,35,12,0,0,0,0,12,2.769230769,Spent lots of time swimming
2010-07-24,Resilience_2,TA,Ctenochaetus striatus,14,,10:40:00,10:45:00,300,26,29,152,0,0,0,0,152,30.4,Chased by Zebrasoma scopas
2010-07-24,Resilience_2,TA,Ctenochaetus striatus,16,,11:26:00,11:31:00,300,48,48,179,30,0,0,0,209,41.8,Chased Acanthurus pyroferus
2010-07-24,Resilience_2,MS,Ctenochaetus striatus,13,,11:28:00,11:33:10,310,48,43,5,5,2,0,0,12,2.322580645,Chased by other C striatus
2010-07-24,Resilience_2,TA,Chlorurus sordidus,19,Terminal_Phase,11:32:00,11:37:00,300,45,45,75,6,0,0,0,81,16.2,
2010-07-24,Resilience_2,MS,Chlorurus sordidus,16,Terminal_Phase,11:34:30,11:39:54,324,50,55,56,16,0,0,0,72,13.33333333,
2010-07-24,Resilience_2,TA,Ctenochaetus striatus,17,,11:39:00,11:43:00,240,46,47,130,58,0,0,0,188,47,
2010-07-24,Resilience_2,MS,Ctenochaetus striatus,17,,11:41:00,11:46:00,300,50,50,109,18,0,0,0,127,25.4,Stayed in small territory
2010-07-24,Resilience_2,TA,Chlorurus sordidus,17,Initial_Phase,11:46:00,11:50:00,240,47,47,84,8,0,0,0,92,23,
2010-07-24,Resilience_2,MS,Ctenochaetus striatus,18,,11:50:00,11:55:00,300,48,50,183,25,0,0,0,208,41.6,
2010-08-09,LTER_1,TA,Ctenochaetus striatus,12,,13:00:00,13:05:00,300,30,30,190,0,70,0,0,260,52,
2010-08-09,LTER_1,MS,Ctenochaetus striatus,15,,13:02:00,13:06:40,280,32,39,201,7,0,0,0,208,44.57142857,
