Date,Site,Observer ,Species,Size_cm,Stage,Time_Beg,Time_End,Time_Period,Seconds_Observed,Depth_Beg,Dept_End,Depth_cat,Bare,Rubble,CCA,Sand ,Other,Total_Bites,Bite_Rate,Notes
2010-07-30,LTER_1,TA,Ctenochaetus striatus,15,,09:56:30,10:01:30,1,300,30,37,10_m,85,0,0,0,0,85,17,Chased by C striatus
2010-07-30,LTER_1,MS,Chlorurus sordidus,20,Terminal_Phase,10:00:45,10:05:45,1,300,31,29,10_m,65,6,0,0,0,71,14.2,Chased C sordidus twice
2010-07-30,LTER_1,TA,Chlorurus sordidus,17,Initial_Phase,10:02:30,10:07:30,1,300,35,37,10_m,94,7,0,0,0,101,20.2,Bit by Piano fang blenny
2010-07-30,LTER_1,MS,Ctenochaetus striatus,12,,10:06:30,10:11:30,1,300,30,30,10_m,161,30,0,0,0,191,38.2,Chased C sordidus twice
2010-07-30,LTER_1,TA,Ctenochaetus striatus,17,,10:10:00,10:15:00,1,300,25,25,10_m,13,0,0,0,0,13,2.6,chased by stegastes; sheltering out of sight 3 min
2010-07-29,LTER_1,TA,Chlorurus sordidus,17,Initial_Phase,10:10:00,10:15:00,1,300,50,50,17_m,2,91,0,0,0,93,18.6,
2010-07-30,LTER_1,MS,Chlorurus sordidus,18,Initial_Phase,10:12:00,10:17:00,1,300,30,28,10_m,76,8,0,0,0,84,16.8,
2010-07-29,LTER_1,MS,Ctenochaetus striatus,13,,10:12:00,10:15:15,1,195,52,46,17_m,114,32,0,0,0,146,44.92307692,Chased by C striatus once
2010-07-30,LTER_1,TA,Ctenochaetus striatus,14,,10:16:00,10:20:00,1,240,27,30,10_m,75,0,0,0,0,75,18.75,
2010-07-29,LTER_1,MS,Chlorurus sordidus,16,Terminal_Phase,10:16:00,10:21:23,1,323,47,47,17_m,11,101,,,4,116,21.54798762,Other = asparagopsis
2010-07-29,LTER_1,TA,Chlorurus sordidus,18,Initial_Phase,10:16:00,10:21:00,1,300,48,48,17_m,3,123,0,0,0,126,25.2,
2010-07-30,LTER_1,MS,Ctenochaetus striatus,14,,10:18:00,10:21:30,1,210,30,30,10_m,178,0,0,0,0,178,50.85714286,
2010-07-29,LTER_1,TA,Chlorurus sordidus,21,Terminal_Phase,10:22:00,10:27:00,1,300,45,45,17_m,128,0,0,0,0,128,25.6,"Chased IP C sordidus twice, cleaned by L. dimidiatus twice 6 sec, 4 sec. chased cleaner both times"
2010-07-30,LTER_1,TA,Chlorurus sordidus,15,Initial_Phase,10:23:00,10:28:00,1,300,29,29,10_m,106,12,0,0,0,118,23.6,"Chased by 1 TP C sordidus, 2 IP C sordidus"
2010-07-30,LTER_1,MS,Ctenochaetus striatus,14,,10:24:00,10:29:00,1,300,31,28,10_m,136,8,0,0,0,144,28.8,Bitten by 2 piano fang blennies 
2010-07-29,LTER_1,MS,Ctenochaetus striatus,13,,10:27:00,10:32:00,1,300,48,41,17_m,108,0,16,0,0,124,24.8,
2010-07-30,LTER_1,TA,Chlorurus sordidus,20,Terminal_Phase,10:29:00,10:34:00,1,300,32,32,10_m,97,0,0,0,0,97,19.4,"Chased 3 TP C sordidus, 1 was very violent"
2010-07-30,LTER_1,MS,Chlorurus sordidus,18,Initial_Phase,10:29:30,10:34:52,1,322,29,26,10_m,89,32,3,0,0,124,23.10559006,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,16,,10:30:00,10:35:00,1,300,53,53,17_m,135,15,0,0,0,150,30,Chased C striatus 8 times
2010-07-29,LTER_1,MS,Ctenochaetus striatus,12,,10:35:30,10:40:30,1,300,51,51,17_m,113,215,0,0,0,328,65.6,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,17,,10:38:00,10:43:00,1,300,52,52,17_m,87,80,26,0,0,193,38.6,Aggressive display with other C. striatus twice
2010-07-29,LTER_1,MS,Chlorurus sordidus,16,Initial_Phase,10:41:30,10:46:30,1,300,50,52,17_m,30,115,0,0,0,145,29,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,16,,10:44:30,10:49:30,1,300,54,54,17_m,172,12,34,0,0,218,43.6,Chased C striatus 4 times
2010-07-29,LTER_1,MS,Chlorurus sordidus,22,Terminal_Phase,10:47:00,10:53:00,1,360,49,45,17_m,79,0,20,0,0,99,16.5,
2010-07-23,LTER_1,TA,Chlorurus sordidus,25,Terminal_Phase,10:58:00,11:03:00,1,300,30,33,10_m,28,0,0,0,0,28,5.6,Chased other TP C sordidus a couple of times and appeared to be patrolling small territory
2010-07-30,LTER_1,TA,Ctenochaetus striatus,16,,11:03:00,11:08:00,2,300,48,50,17_m,86,0,20,0,0,106,21.2,
2010-07-30,LTER_1,MS,Ctenochaetus striatus,13,,11:04:00,11:09:00,2,300,50,50,17_m,15,41,0,0,0,56,11.2,"Schooling for 4 min, no feeding during this time"
2010-07-23,LTER_1,TA,Chlorurus sordidus,23,Terminal_Phase,11:05:00,11:10:00,2,300,28,30,10_m,57,0,0,0,0,57,11.4,
2010-07-30,LTER_1,TA,Ctenochaetus striatus,14,,11:09:30,11:14:00,2,270,49,49,17_m,12,0,5,0,0,17,3.777777778,chased by C striatus once
2010-07-30,LTER_1,MS,Chlorurus sordidus,22,Terminal_Phase,11:10:00,11:15:00,2,300,52,50,17_m,90,15,0,0,0,105,21,
2010-07-23,LTER_1,TA,Chlorurus sordidus,16,Initial_Phase,11:12:00,11:17:00,2,300,27,30,10_m,147,0,0,0,0,147,29.4,Chased by TP C sordidus
2010-07-23,LTER_1,MS,Ctenochaetus striatus,14,,11:13:00,11:18:00,2,300,40,44,10_m,43,0,1,0,0,44,8.8,
2010-07-30,LTER_1,TA,Ctenochaetus striatus,15,,11:16:30,11:21:00,2,270,53,53,17_m,100,100,31,0,0,231,51.33333333,
2010-07-30,LTER_1,MS,Chlorurus sordidus,19,Initial_Phase,11:17:30,11:22:30,2,300,51,53,17_m,80,64,0,0,0,144,28.8,
2010-07-23,LTER_1,TA,Ctenochaetus striatus,16,,11:18:00,11:23:00,2,300,32,44,10_m,29,15,0,0,0,44,8.8,
2010-07-23,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,11:19:00,11:24:10,2,310,45,55,17_m,31,41,0,0,0,72,13.93548387,
2010-07-30,LTER_1,TA,Chlorurus sordidus,20,Terminal_Phase,11:22:00,11:27:00,2,300,52,52,17_m,26,68,0,0,0,94,18.8,cleaned by L. dimidiatus 16 sec
2010-07-23,LTER_1,TA,Ctenochaetus striatus,14,,11:26:00,11:30:00,2,240,29,43,10_m,18,0,0,0,0,18,4.5,
2010-07-23,LTER_1,MS,Ctenochaetus striatus,15,,11:26:00,11:31:00,2,300,55,48,17_m,44,0,0,0,0,44,8.8,
2010-07-30,LTER_1,MS,Ctenochaetus striatus,13,,11:26:00,11:31:00,2,300,30,26,10_m,94,25,13,0,0,132,26.4,
2010-07-30,LTER_1,TA,Chlorurus sordidus,15,Initial_Phase,11:29:00,11:34:00,2,300,51,51,17_m,90,68,3,0,0,161,32.2,
2010-07-30,LTER_1,MS,Chlorurus sordidus,19,Initial_Phase,11:32:00,11:37:00,2,300,30,30,10_m,62,0,0,0,0,62,12.4,
2010-07-23,LTER_1,TA,Ctenochaetus striatus,14,,11:34:00,11:38:00,2,240,30,30,10_m,122,0,0,0,0,122,30.5,Chased by Stegastes and also chased by other C striatus
2010-07-23,LTER_1,MS,Chlorurus sordidus,20,Initial_Phase,11:34:00,11:38:07,2,247,35,50,10_m,62,0,0,0,0,62,15.06072874,
2010-07-30,LTER_1,TA,Chlorurus sordidus,15,Initial_Phase,11:36:00,11:41:00,2,300,51,51,17_m,90,80,0,0,0,170,34,
2010-07-30,LTER_1,MS,Ctenochaetus striatus,15,,11:39:00,11:44:00,2,300,30,39,10_m,61,56,29,0,0,146,29.2,Chased C striatus twice; bit by a fang blenny; spent time hiding in rocks
2010-07-23,LTER_1,MS,Chlorurus sordidus,18,Terminal_Phase,11:47:00,11:52:05,2,305,30,32,10_m,83,0,0,0,0,83,16.32786885,
2010-07-26,LTER_1,TA,Chlorurus sordidus,18,Initial_Phase,11:59:00,12:04:00,2,300,30,26,10_m,145,0,0,0,0,145,29,
2010-07-26,LTER_1,MS,Chlorurus sordidus,15,Terminal_Phase,12:00:00,12:05:00,3,300,34,31,10_m,112,0,0,0,0,112,22.4,Chased other TP C sordidus twice and appeared to be patrolling small territory
